id,name,scientific_name,rarity,size,habitat,ability,color,discovery_rate
1,ヒメクマムシ,Echiniscus granulatus,コモン,0.1mm,都市コケ,基本生存,透明,25%
2,マルクマムシ,Paramacrobiotus richtersi,コモン,0.15mm,湿地コケ,高速移動,薄青,20%
3,チビクマムシ,Milnesium minimum,コモン,0.08mm,森林コケ,小サイズ,緑がかった透明,18%
4,ノーマルクマムシ,Hypsibius dujardini,コモン,0.12mm,一般コケ,バランス型,白っぽい透明,22%
5,ミドリクマムシ,Macrobiotus hufelandi,コモン,0.2mm,苔,光合成共生,淡緑,15%
31,ヨコヅナクマムシ,Ramazzottius varieornatus,アンコモン,0.3mm,乾燥地,超乾燥耐性,茶褐色,12%
32,タフクマムシ,Richtersius coronifer,アンコモン,0.25mm,極地,凍結耐性,青白,10%
33,ドゥジャルダンヤマクマムシ,Hypsibius dujardini,アンコモン,0.18mm,水中,水中生活,透明青,8%
34,トゲクマムシ,Echiniscus testudo,アンコモン,0.22mm,岩場,物理防御,灰色,9%
35,スピードクマムシ,Milnesium velocis,アンコモン,0.16mm,平地,高速移動,黄色味がかった透明,7%
46,クリスタルクマムシ,Crystallinus magnificus,レア,0.35mm,洞窟,結晶化,虹色,5%
47,ファイアクマムシ,Thermotardigrade igneus,レア,0.28mm,温泉,高温耐性,赤橙,4%
48,フローズンクマムシ,Cryotardigrade glacialis,レア,0.32mm,氷河,氷結操作,氷青,3%
49,サンダークマムシ,Electrotardigrade voltaicus,レア,0.26mm,雷雲,電気生成,黄色発光,3%
50,ゴールデンクマムシ,Aurumus splendidus,レア,0.4mm,金属鉱床,金属吸収,金色,2%
51,タイタンクマムシ,Gigantatardigrade titanicus,エピック,0.8mm,深海,巨大化,深青,2%
52,フェニックスクマムシ,Phoenixtardigrade reborn,エピック,0.45mm,火山,復活再生,火炎色,1.5%
53,シャドウクマムシ,Umbratardigrade tenebris,エピック,0.3mm,洞窟深部,透明化,黒透明,1%
54,プリズムクマムシ,Spectrumus rainbow,エピック,0.5mm,鉱物洞窟,光屈折,分光虹色,1%
55,タイムクマムシ,Temporalis chronos,エピック,0.35mm,時空異常地帯,時間操作,時計色,0.8%
56,オニクマムシ,Milnesium tardigradum,レジェンダリー,0.7mm,戦場,捕食・共食い,血赤,0.5%
57,ドラゴンクマムシ,Draconus legendarius,レジェンダリー,1.2mm,竜の巣,炎吐き・飛行,竜鱗緑,0.3%
58,コズミッククマムシ,Cosmicus universalis,レジェンダリー,0.6mm,宇宙空間,宇宙生存,星空,0.2%
59,エターナルクマムシ,Eternus immortalis,レジェンダリー,0.9mm,時の神殿,不老不死,光輝白,0.1%
60,カオスクマムシ,Chaoticus destroyer,レジェンダリー,1.5mm,混沌の渦,次元破壊,虚無黒,0.05%
6,キラリクマムシ,Lucidus sparkles,コモン,0.11mm,水辺コケ,反射光,銀色,16%
7,フワフワクマムシ,Gossipius fluffy,コモン,0.13mm,綿毛,浮遊,白,19%
8,ちっちゃクマムシ,Minimus tiny,コモン,0.06mm,葉表面,極小化,薄緑,21%
9,げんきクマムシ,Energicus active,コモン,0.14mm,陽だまり,活発性,黄,17%
10,しずかクマムシ,Silentius quiet,コモン,0.09mm,静寂の森,無音移動,薄紫,14%
11,ぽかぽかクマムシ,Warmicus cozy,コモン,0.16mm,日向,保温,温かい橙,13%
12,つめたクマムシ,Coldicus chill,コモン,0.12mm,日陰,冷却,冷たい青,15%
13,のんびクマムシ,Slowpaceus relax,コモン,0.18mm,のんびり草原,リラックス,のんびり緑,20%
14,きれいクマムシ,Beauticus pretty,コモン,0.15mm,花畑,美化,ピンク,12%
15,つよしクマムシ,Strongicus power,コモン,0.21mm,岩石地,筋力強化,茶色,11%
16,スベスベクマムシ,Smoothicus slick,コモン,0.13mm,滑らかな石,摩擦減少,真珠色,18%
17,ザラザラクマムシ,Roughicus texture,コモン,0.17mm,ざらざら岩,グリップ強化,砂色,16%
18,ひんやりクマムシ,Coolicus fresh,コモン,0.14mm,涼しい洞窟,体温調節,ミント色,14%
19,ほかほかクマムシ,Steamicus warm,コモン,0.19mm,温泉近く,蒸気発生,湯気色,10%
20,きらめクマムシ,Glittericus shine,コモン,0.12mm,ガラス質土,光反射,きらめく透明,13%
36,ジャンプクマムシ,Salticus jumper,アンコモン,0.24mm,高台,跳躍力,跳躍青,9%
37,スイムクマムシ,Natatorius swimmer,アンコモン,0.27mm,池,遊泳,水色,8%
38,クライムクマムシ,Scandicus climber,アンコモン,0.23mm,崖,登攀,岩肌色,7%
39,グライドクマムシ,Planicus glider,アンコモン,0.29mm,高所,滑空,風色,6%
40,バリアクマムシ,Scuticus barrier,アンコモン,0.26mm,要塞跡,バリア生成,防御銀,8%
41,ヒールクマムシ,Sanatorius healer,アンコモン,0.22mm,薬草地,治癒,癒し緑,7%
42,ブーストクマムシ,Accelerus booster,アンコモン,0.25mm,風の通り道,加速,疾風黄,6%
43,ミラージュクマムシ,Illusorius mirage,レア,0.31mm,砂漠,幻影生成,蜃気楼色,4%
44,エコークマムシ,Resonatus echo,レア,0.33mm,峡谷,音波操作,音響青,3%
45,マグネットクマムシ,Magneticus attract,エピック,0.42mm,磁鉄鉱床,磁力操作,磁力紫,1.2%
